country,access_electricity_pct,low_carbon_elec_pct,gdp_per_capita_usd,transition_score,clean_access_ratio,fossil_lock_in,score_2000,score_2019,score_change,improvement_rate,cluster,cluster_name
Somalia,49.2,5.714286,419.3948077,22.03,2.81,78.67,13.07,22.03,8.96,0.472,3,Pobreza energética
South Africa,85.0,11.15706,6624.761865,45.07,9.48,61.78,37.21,45.07,7.86,0.414,0,Emergentes fósiles
South Sudan,6.707007,1.7857143,,15.32,0.12,,,,,,3,Pobreza energética
Spain,100.0,58.82092,29555.3157,76.36,58.82,26.27,67.1,76.36,9.26,0.487,2,Transición renovable
Sri Lanka,99.75857,35.934547,3852.265603,58.71,35.85,40.83,50.49,58.71,8.22,0.433,2,Transición renovable
Sudan,53.96254,63.33538,610.9278615,50.73,34.18,38.92,34.66,50.73,16.07,0.846,3,Pobreza energética
Suriname,97.82542,49.230766,6853.693411,66.17,48.16,37.18,61.76,66.17,4.41,0.232,0,Emergentes fósiles
Sweden,100.0,98.010925,51939.42974,96.01,98.01,9.13,93.42,96.01,2.59,0.136,1,Desarrollados alto consumo
Switzerland,100.0,94.61654,85334.51946,96.26,94.62,5.39,93.96,96.26,2.3,0.121,1,Desarrollados alto consumo
Tajikistan,99.63321,93.10345,890.5444024,79.17,92.76,24.84,74.62,79.17,4.55,0.239,2,Transición renovable
Thailand,99.9,14.700173,7817.009671,51.72,14.69,53.34,38.12,51.72,13.6,0.716,0,Emergentes fósiles
Togo,52.36311,35.714287,893.3524541,39.17,18.7,56.44,35.1,39.17,4.07,0.214,3,Pobreza energética
Tonga,98.4,14.285714,4903.012138,49.42,14.06,52.86,36.1,49.42,13.32,0.701,0,Emergentes fósiles
Trinidad and Tobago,100.0,0.11574074,16637.16294,47.89,0.12,85.68,42.09,47.89,5.8,0.305,1,Desarrollados alto consumo
Tunisia,100.0,3.9902678,3574.654024,44.14,3.99,59.0,39.43,44.14,4.71,0.248,0,Emergentes fósiles
Turkey,100.0,43.680435,9121.515167,65.35,43.68,36.39,54.31,65.35,11.04,0.581,0,Emergentes fósiles
Turkmenistan,99.9,0.0,7612.03518,45.01,0.0,75.2,36.1,45.01,8.91,0.469,0,Emergentes fósiles
Tuvalu,99.7,,4055.89561,56.21,0.0,43.96,51.04,56.21,5.17,0.272,0,Emergentes fósiles
Uganda,41.3,97.92147,798.5857341,63.45,40.44,32.32,49.09,63.45,14.36,0.756,3,Pobreza energética
Ukraine,100.0,62.144634,3661.456204,70.4,62.14,38.57,59.59,70.4,10.81,0.569,2,Transición renovable
United Arab Emirates,100.0,2.930968,42701.44305,52.52,2.93,51.68,50.32,52.52,2.2,0.116,1,Desarrollados alto consumo
United Kingdom,100.0,54.923054,43070.49836,75.95,54.92,26.33,61.15,75.95,14.8,0.779,1,Desarrollados alto consumo
United States,100.0,37.75918,65279.52903,69.71,37.76,36.88,63.7,69.71,6.01,0.316,1,Desarrollados alto consumo
Uruguay,99.9,88.224304,17688.01501,87.73,88.14,14.74,86.04,87.73,1.69,0.089,2,Transición renovable
Uzbekistan,100.0,10.7636,1784.009816,44.71,10.76,66.32,41.5,44.71,3.21,0.169,0,Emergentes fósiles
Vanuatu,64.59019,28.571428,3116.297759,44.09,18.45,47.93,15.82,44.09,28.27,1.488,3,Pobreza energética
Yemen,72.751076,14.076246,,40.66,10.24,,27.26,40.66,13.4,0.705,0,Emergentes fósiles
Zambia,43.0,86.0259,1305.001031,60.36,36.99,31.02,53.61,60.36,6.75,0.355,3,Pobreza energética
Zimbabwe,46.781475,55.582527,1316.740657,47.82,26.0,50.84,38.81,47.82,9.01,0.474,3,Pobreza energética
